# TITLE  Co1 Fe1 [Cubic, Centric (-1 at origin)]
#        a         b         c       alpha     beta      gamma
# CELL    2.85700   2.85700   2.85700  90.00000  90.00000  90.00000
# SPCGRP  P m -3 m [Number  221]
#                    X         Y         Z         B         Occ       Spin      Charge
# Atom  Co1                    0.00000   0.00000   0.00000   0.00000   0.02083   0.00000   0.00000
# Atom  Fe1                    0.50000   0.50000   0.50000   0.00000   0.02083   0.00000   0.00000
# COMMAND cif2hkl CoFe_56273.cif --output CoFe_56273.txt
# CIF2HKL (c) ILL 2012 E. Farhi <farhi@ill.eu> based on CrysFML
# DATE    12/06/2019 at 13:30:12
#
# Physical parameters:
# sigma_coh        12.00121 coherent   scattering cross section in [barn]
# sigma_inc         5.23051 incoherent scattering cross section in [barn]
# sigma_abs        39.74000 absorption scattering cross section in [barn]
# density           4.92185 in [g/cm^3]
# weight          114.77820 in [g/mol]
# Vc               23.32011 volume of unit cell in [A^3]
# lattice_a         2.85700 lattice parameter a in [Angs]
# lattice_b         2.85700 lattice parameter b in [Angs]
# lattice_c         2.85700 lattice parameter c in [Angs]
# lattice_aa       90.00000 lattice angle alpha in [deg]
# lattice_bb       90.00000 lattice angle beta in [deg]
# lattice_cc       90.00000 lattice angle gamma in [deg]
# STRUCTURE FACTORS(NEUTRONS)
#
# Format parameters: Crystallographica format
# column_h  1
# column_k  2
# column_l  3
# column_j  4   multiplicity 'j'
# column_d  5   d-spacing 'd' in [Angs]
# column_F2 6   norm of scattering factor |F|^2 in [barn]
#
# List   200 reflections for lambda >     0.5000 [Angs], decreasing d-spacing.
# H   K   L     Mult    dspc                   |Fc|^2
   8    3    1    48       0.33212       1.42564
   7    4    3    48       0.33212       1.42564
   7    5    0    24       0.33212       1.42564
   7    5    1    48       0.32990       0.48442
   5    5    5     8       0.32990       0.48442
   6    6    2    24       0.32772       1.42564
   6    5    4    48       0.32559       0.48442
   8    3    2    48       0.32559       0.48442
   7    5    2    48       0.32349       1.42564
   8    4    0    24       0.31942       1.42564
   8    4    1    48       0.31744       0.48442
   9    0    0     6       0.31744       0.48442
   6    6    3    24       0.31744       0.48442
   7    4    4    24       0.31744       0.48442
   9    1    0    24       0.31550       1.42564
   8    3    3    24       0.31550       1.42564
   9    1    1    24       0.31360       0.48442
   7    5    3    48       0.31360       0.48442
   8    4    2    48       0.31172       1.42564
   7    6    0    24       0.30989       0.48442
   9    2    0    24       0.30989       0.48442
   7    6    1    48       0.30808       1.42564
   9    2    1    48       0.30808       1.42564
   6    5    5    24       0.30808       1.42564
   6    6    4    24       0.30456       1.42564
   8    4    3    48       0.30284       0.48442
   9    2    2    24       0.30284       0.48442
   7    6    2    48       0.30284       0.48442
   8    5    0    24       0.30284       0.48442
   8    5    1    48       0.30115       1.42564
   7    5    4    48       0.30115       1.42564
   9    3    0    24       0.30115       1.42564
   9    3    1    48       0.29949       0.48442
   8    5    2    48       0.29626       0.48442
   7    6    3    48       0.29468       1.42564
   9    3    2    48       0.29468       1.42564
   8    4    4    24       0.29159       1.42564
   9    4    0    24       0.29008       0.48442
   6    6    5    24       0.29008       0.48442
   9    4    1    48       0.28860       1.42564
   7    7    0    12       0.28860       1.42564
   8    5    3    48       0.28860       1.42564
   7    5    5    24       0.28714       0.48442
   7    7    1    24       0.28714       0.48442
   9    3    3    24       0.28714       0.48442
  10    0    0     6       0.28570       1.42564
   8    6    0    24       0.28570       1.42564
   7    6    4    48       0.28428       0.48442
   8    6    1    48       0.28428       0.48442
  10    1    0    24       0.28428       0.48442
   9    4    2    48       0.28428       0.48442
  10    1    1    24       0.28289       1.42564
   7    7    2    24       0.28289       1.42564
  10    2    0    24       0.28015       1.42564
   8    6    2    48       0.28015       1.42564
   8    5    4    48       0.27881       0.48442
  10    2    1    48       0.27881       0.48442
   9    5    0    24       0.27750       1.42564
   9    4    3    48       0.27750       1.42564
   9    5    1    48       0.27620       0.48442
   7    7    3    24       0.27620       0.48442
   6    6    6     8       0.27491       1.42564
  10    2    2    24       0.27491       1.42564
   8    6    3    48       0.27365       0.48442
  10    3    0    24       0.27365       0.48442
  10    3    1    48       0.27240       1.42564
   7    6    5    48       0.27240       1.42564
   9    5    2    48       0.27240       1.42564
   8    7    0    24       0.26876       0.48442
  10    3    2    48       0.26876       0.48442
   9    4    4    24       0.26876       0.48442
   8    7    1    48       0.26758       1.42564
   7    7    4    24       0.26758       1.42564
   8    5    5    24       0.26758       1.42564
   9    5    3    48       0.26642       0.48442
  10    4    0    24       0.26527       1.42564
   8    6    4    48       0.26527       1.42564
   8    7    2    48       0.26413       0.48442
   9    6    0    24       0.26413       0.48442
  10    4    1    48       0.26413       0.48442
   9    6    1    48       0.26301       1.42564
  10    3    3    24       0.26301       1.42564
  10    4    2    48       0.26081       1.42564
   7    6    6    24       0.25973       0.48442
  11    0    0     6       0.25973       0.48442
   9    6    2    48       0.25973       0.48442
   8    7    3    48       0.25866       1.42564
  11    1    0    24       0.25866       1.42564
   9    5    4    48       0.25866       1.42564
   7    7    5    24       0.25761       0.48442
  11    1    1    24       0.25761       0.48442
   8    6    5    48       0.25554       0.48442
  10    4    3    48       0.25554       0.48442
  10    5    0    24       0.25554       0.48442
  11    2    0    24       0.25554       0.48442
   9    6    3    48       0.25452       1.42564
  11    2    1    48       0.25452       1.42564
  10    5    1    48       0.25452       1.42564
   8    8    0    12       0.25253       1.42564
   8    8    1    24       0.25154       0.48442
   8    7    4    48       0.25154       0.48442
  10    5    2    48       0.25154       0.48442
  11    2    2    24       0.25154       0.48442
   9    7    0    24       0.25058       1.42564
  11    3    0    24       0.25058       1.42564
