# TITLE  Co16 Fe16 Co8 Fe8 O32 [Cubic, Centric (-1 at origin)]
#        a         b         c       alpha     beta      gamma
# CELL    8.39400   8.39400   8.39400  90.00000  90.00000  90.00000
# SPCGRP  F d -3 m [Number  227]
#                    X         Y         Z         B         Occ       Spin      Charge
# Atom  Co1                    0.00000   0.00000   0.00000   0.00000   0.03000   0.00000   0.00000
# Atom  Fe1                    0.00000   0.00000   0.00000   0.00000   0.05333   0.00000   0.00000
# Atom  Co2                    0.62500   0.62500   0.62500   0.00000   0.01333   0.00000   0.00000
# Atom  Fe2                    0.62500   0.62500   0.62500   0.00000   0.02833   0.00000   0.00000
# Atom  O1                     0.37600   0.37600   0.37600   0.00000   0.16667   0.00000   0.00000
# COMMAND cif2hkl CoFe2O4_109044.cif --output CoFe2O4_109044.txt
# CIF2HKL (c) ILL 2012 E. Farhi <farhi@ill.eu> based on CrysFML
# DATE    12/06/2019 at 13:30:47
#
# Physical parameters:
# sigma_coh       423.44348 coherent   scattering cross section in [barn]
# sigma_inc       125.55785 incoherent scattering cross section in [barn]
# sigma_abs       953.76611 absorption scattering cross section in [barn]
# density           5.52328 in [g/cm^3]
# weight         3266.65747 in [g/mol]
# Vc              591.43481 volume of unit cell in [A^3]
# lattice_a         8.39400 lattice parameter a in [Angs]
# lattice_b         8.39400 lattice parameter b in [Angs]
# lattice_c         8.39400 lattice parameter c in [Angs]
# lattice_aa       90.00000 lattice angle alpha in [deg]
# lattice_bb       90.00000 lattice angle beta in [deg]
# lattice_cc       90.00000 lattice angle gamma in [deg]
# STRUCTURE FACTORS(NEUTRONS)
#
# Format parameters: Crystallographica format
# column_h  1
# column_k  2
# column_l  3
# column_j  4   multiplicity 'j'
# column_d  5   d-spacing 'd' in [Angs]
# column_F2 6   norm of scattering factor |F|^2 in [barn]
#
# List   992 reflections for lambda >     0.5000 [Angs], decreasing d-spacing.
# H   K   L     Mult    dspc                   |Fc|^2
  14    4    2    48       0.57114     588.97156
  13    5    5    24       0.56721     516.03485
  13    7    1    48       0.56721     515.97363
  11    7    7    24       0.56721     515.90796
  12    8    4    48       0.56085    1251.52454
  11    9    5    48       0.55713     134.57483
  13    7    3    48       0.55713     134.63242
  15    1    1    24       0.55713     134.61008
  10    8    8    24       0.55591       0.00001
  14    4    4    24       0.55591       0.00000
  14    6    0    24       0.55109     588.68817
  15    3    1    48       0.54756     515.80505
  14    6    2    48       0.54640     123.47255
  10   10    6    24       0.54640     123.39444
   9    9    9     8       0.53848     134.57169
  13    7    5    48       0.53848     134.48193
  15    3    3    24       0.53848     134.50539
  11   11    1    24       0.53848     134.52512
  12    8    6    48       0.53737       0.00001
  14    6    4    48       0.53302     588.40485
  12   10    2    48       0.53302     588.40594
  13    9    1    48       0.52982     515.62885
  11    9    7    48       0.52982     515.71521
  11   11    3    24       0.52982     515.55835
  15    5    1    48       0.52982     515.59955
  16    0    0     6       0.52462    1250.69202
  13    9    3    48       0.52158     134.39377
  15    5    3    48       0.52158     134.43671
  12   10    4    48       0.52057       0.00000
  14    8    2    48       0.51661     588.12152
  10   10    8    24       0.51661     588.12335
  16    2    2    24       0.51661     588.11902
  13    7    7    24       0.51370     515.51904
  11   11    5    24       0.51370     515.51416
  14    6    6    24       0.51275     123.40410
  12    8    8    24       0.50896     172.58826
  16    4    0    24       0.50896     172.58606
  15    5    5    24       0.50618     134.29590
  15    7    1    48       0.50618     134.33202
  13    9    5    48       0.50618     134.36887
  14    8    4    48       0.50526       0.00000
  16    4    2    48       0.50526       0.00000
  12   10    6    48       0.50164     587.84003
  11    9    9    24       0.49897     515.10602
  15    7    3    48       0.49897     515.18927
  16    4    4    24       0.49462    1249.86670
  12   12    0    12       0.49462    1249.87048
  13   11    1    48       0.49206     134.21791
  11   11    7    24       0.49206     134.16560
  17    1    1    24       0.49206     134.22861
  12   12    2    24       0.49122       0.00000
  16    6    2    48       0.48789     587.55310
  14    8    6    48       0.48789     587.55566
  14   10    0    24       0.48789     587.55511
  13    9    7    48       0.48544     514.92889
  17    3    1    48       0.48544     515.03900
  15    7    5    48       0.48544     515.12610
  13   11    3    48       0.48544     515.11237
  10   10   10     8       0.48463     123.55726
  14   10    2    48       0.48463     123.42675
  12   12    4    24       0.48143     172.28130
  17    3    3    24       0.47907     134.14323
  15    9    1    48       0.47907     134.12273
  12   10    8    48       0.47829       0.00002
  16    6    4    48       0.47829       0.00000
  14   10    4    48       0.47522     587.27240
  15    9    3    48       0.47295     514.92084
  17    5    1    48       0.47295     514.87134
  13   11    5    48       0.47295     514.75696
  16    8    0    24       0.46924    1249.04175
  17    5    3    48       0.46705     134.01698
  15    7    7    24       0.46705     133.98219
  11   11    9    24       0.46705     134.12054
  14    8    8    24       0.46633       0.00002
  16    8    2    48       0.46633       0.00000
  12   12    6    24       0.46633       0.00002
  18    2    0    24       0.46348     586.98383
  16    6    6    24       0.46348     586.98798
  15    9    5    48       0.46138     514.57465
  13    9    9    24       0.46138     514.83118
  18    2    2    24       0.46068     123.46231
  14   10    6    48       0.46068     123.54074
  16    8    4    48       0.45793     171.97360
  13   13    1    24       0.45590     133.95442
  17    5    5    24       0.45590     133.97292
  13   11    7    48       0.45590     134.01817
  17    7    1    48       0.45590     133.93195
  18    4    2    48       0.45257     586.70129
  12   10   10    24       0.45257     586.70868
  14   12    2    48       0.45257     586.70648
  13   13    3    24       0.45061     514.41235
  15   11    1    48       0.45061     514.51062
  17    7    3    48       0.45061     514.53766
  12   12    8    24       0.44740    1248.22253
  15   11    3    48       0.44551     133.80927
  15    9    7    48       0.44551     133.91792
  16    8    6    48       0.44488       0.00001
  14   12    4    48       0.44488       0.00001
  18    4    4    24       0.44488       0.00000
  14   10    8    48       0.44240     586.42517
  18    6    0    24       0.44240     586.41901
  16   10    2    48       0.44240     586.42249
  19    1    1    24       0.44057     514.29224
  11   11   11     8       0.44057     514.10559
  17    7    5    48       0.44057     514.21088
  13   13    5    24       0.44057     514.42535
  18    6    2    48       0.43997     123.43340
  13   11    9    48       0.43579     133.65495
  15   11    5    48       0.43579     133.81323
  17    9    1    48       0.43579     133.76163
  19    3    1    48       0.43579     133.75276
  16   10    4    48       0.43521       0.00001
  18    6    4    48       0.43289     586.13727
  14   12    6    48       0.43289     586.14227
  17    9    3    48       0.43117     514.04382
  19    3    3    24       0.43117     514.08252
  16    8    8    24       0.42835    1247.39514
  15    9    9    24       0.42669     133.56462
  19    5    1    48       0.42669     133.64629
  13   13    7    24       0.42669     133.56718
  17    7    7    24       0.42669     133.71786
  12   12   10    24       0.42614       0.00004
  18    8    2    48       0.42396     585.85504
  16   10    6    48       0.42396     585.85858
  14   14    0    12       0.42396     585.85828
  19    5    3    48       0.42235     513.96307
  17    9    5    48       0.42235     514.03741
  15   13    1    48       0.42235     513.89734
  15   11    7    48       0.42235     513.75604
  18    6    6    24       0.42181     123.52098
  14   10   10    24       0.42181     123.31207
  14   14    2    24       0.42181     123.49503
  20    0    0     6       0.41970     171.35770
  16   12    0    24       0.41970     171.36238
  15   13    3    48       0.41813     133.60420
  16   12    2    48       0.41762       0.00000
  18    8    4    48       0.41762       0.00001
  14   12    8    48       0.41762       0.00004
  14   14    4    24       0.41556     585.57672
  20    2    2    24       0.41556     585.56738
  19    7    1    48       0.41405     513.75397
  19    5    5    24       0.41405     513.66528
  17   11    1    48       0.41405     513.71051
  13   11   11    24       0.41405     513.97308
  20    4    0    24       0.41155    1246.55835
  16   12    4    48       0.41155    1246.57068
  19    7    3    48       0.41007     133.43324
  17    9    7    48       0.41007     133.38411
  15   13    5    48       0.41007     133.39197
  13   13    9    24       0.41007     133.58047
  17   11    3    48       0.41007     133.50658
  20    4    2    48       0.40959       0.00000
  16   10    8    48       0.40959       0.00003
  18   10    0    24       0.40765     585.29144
  18    8    6    48       0.40765     585.29199
  15   11    9    48       0.40621     513.77228
  18   10    2    48       0.40574     123.49192
  14   14    6    24       0.40574     123.33451
  12   12   12     8       0.40386     171.05945
  20    4    4    24       0.40386     171.05316
  19    7    5    48       0.40246     133.41823
  17   11    5    48       0.40246     133.29916
  16   12    6    48       0.40200       0.00003
  18   10    4    48       0.40017     585.00977
  20    6    2    48       0.40017     585.00415
  14   12   10    48       0.40017     585.01520
  19    9    1    48       0.39881     513.33698
  21    1    1    24       0.39881     513.36023
  15   13    7    48       0.39881     513.56757
  15   15    1    24       0.39526     133.29137
  19    9    3    48       0.39526     133.31140
  17    9    9    24       0.39526     133.37825
  21    3    1    48       0.39526     133.26607
  20    6    4    48       0.39482       0.00000
  18    8    8    24       0.39482       0.00003
  14   14    8    24       0.39309     584.73267
  16   10   10    24       0.39309     584.73199
  16   14    2    48       0.39309     584.72980
  13   13   11    24       0.39180     512.90729
  15   15    3    24       0.39180     513.07892
  21    3    3    24       0.39180     513.19891
  19    7    7    24       0.39180     513.03870
  17   13    1    48       0.39180     513.20972
  17   11    7    48       0.39180     513.37170
  18   10    6    48       0.39137     123.34522
  20    8    0    24       0.38968     170.74872
  16   12    8    48       0.38968     170.75371
  21    5    1    48       0.38843     133.18359
  19    9    5    48       0.38843     133.11385
  15   11   11    24       0.38843     133.04399
  17   13    3    48       0.38843     133.12936
  16   14    4    48       0.38801       0.00002
  20    8    2    48       0.38801       0.00000
  18   12    2    48       0.38637     584.44666
  20    6    6    24       0.38637     584.44177
  15   15    5    24       0.38514     513.15765
  21    5    3    48       0.38514     512.93884
  15   13    9    48       0.38514     512.73517
  20    8    4    48       0.38313    1244.91626
  19   11    1    48       0.38194     133.09882
  17   13    5    48       0.38194     133.16708
  18   12    4    48       0.38155       0.00002
  14   12   12    24       0.38155       0.00009
  18   10    8    48       0.37998     584.16656
  16   14    6    48       0.37998     584.16779
  22    2    0    24       0.37998     584.15295
  21    5    5    24       0.37882     512.87604
  19    9    7    48       0.37882     512.97919
  19   11    3    48       0.37882     512.71069
  21    7    1    48       0.37882     512.77722
  17   11    9    48       0.37882     512.55817
  22    2    2    24       0.37843     123.44637
  14   14   10    24       0.37843     123.65537
  21    7    3    48       0.37577     133.01921
  15   15    7    24       0.37577     132.87154
  20    8    6    48       0.37539       0.00002
  16   12   10    48       0.37539       0.00008
  20   10    2    48       0.37390     583.87970
  22    4    2    48       0.37390     583.87231
  18   12    6    48       0.37390     583.88477
  19   11    5    48       0.37279     512.77045
  13   13   13     8       0.37279     512.94525
  17   13    7    48       0.37279     512.39124
  16   16    0    12       0.37097    1244.10205
  21    7    5    48       0.36988     132.83635
  17   15    1    48       0.36988     132.87523
  15   13   11    48       0.36988     133.05638
  22    4    4    24       0.36953       0.00000
  20   10    4    48       0.36953       0.00001
  16   16    2    24       0.36953       0.00001
  16   14    8    48       0.36953       0.00007
  22    6    0    24       0.36810     583.59180
  18   14    0    24       0.36810     583.60211
  19    9    9    24       0.36704     512.20398
  17   15    3    48       0.36704     512.54407
  21    9    1    48       0.36704     512.45422
  18   14    2    48       0.36669     123.40393
  18   10   10    24       0.36669     123.63866
  22    6    2    48       0.36669     123.48223
  20    8    8    24       0.36530     170.14212
  16   16    4    24       0.36530     170.14452
  19   13    1    48       0.36427     132.78008
  19   11    7    48       0.36427     132.68887
  15   15    9    24       0.36427     132.95213
  21    9    3    48       0.36427     132.75426
  17   11   11    24       0.36427     132.95439
  23    1    1    24       0.36427     132.79190
  18   12    8    48       0.36393       0.00006
  14   14   12    24       0.36257     583.32678
  18   14    4    48       0.36257     583.32190
  22    6    4    48       0.36257     583.31122
  20   10    6    48       0.36257     583.31848
  21    7    7    24       0.36156     512.39203
  19   13    3    48       0.36156     512.35315
  17   15    5    48       0.36156     512.05811
  23    3    1    48       0.36156     512.24402
  17   13    9    48       0.36156     512.53961
  20   12    0    24       0.35989    1243.27527
  16   12   12    24       0.35989    1243.28796
  21    9    5    48       0.35890     132.77309
  23    3    3    24       0.35890     132.68356
  16   16    6    24       0.35857       0.00005
  20   12    2    48       0.35857       0.00000
  16   14   10    48       0.35727     583.04468
  22    8    2    48       0.35727     583.03052
  19   13    5    48       0.35631     511.87665
  23    5    1    48       0.35631     512.03253
  18   14    6    48       0.35598     123.60971
  22    6    6    24       0.35598     123.37472
  20   12    4    48       0.35471     169.83888
  15   13   13    24       0.35376     132.42213
  19   11    9    48       0.35376     132.75037
  17   15    7    48       0.35376     132.74385
  21   11    1    48       0.35376     132.59044
  23    5    3    48       0.35376     132.63017
  20   10    8    48       0.35345       0.00005
  22    8    4    48       0.35345       0.00001
  18   12   10    48       0.35220     582.76233
  21    9    7    48       0.35128     511.67429
  21   11    3    48       0.35128     511.97125
  15   15   11    24       0.35128     511.51248
  24    0    0     6       0.34975    1242.43152
  16   16    8    24       0.34975    1242.46460
  19   13    7    48       0.34884     132.64410
  23    7    1    48       0.34884     132.52180
  17   13   11    48       0.34884     132.33473
  17   17    1    24       0.34884     132.53622
  23    5    5    24       0.34884     132.46715
  20   12    6    48       0.34854       0.00004
  18   16    2    48       0.34735     582.47870
  22    8    6    48       0.34735     582.47064
  24    2    2    24       0.34735     582.45978
  22   10    0    24       0.34735     582.46979
  18   14    8    48       0.34735     582.48096
  23    7    3    48       0.34646     511.60706
  21   11    5    48       0.34646     511.51300
  17   17    3    24       0.34646     511.55917
  19   15    1    48       0.34646     511.72675
  22   10    2    48       0.34616     123.41031
  14   14   14     8       0.34616     123.17624
  24    4    0    24       0.34499     169.52736
  19   15    3    48       0.34412     132.35583
  17   15    9    48       0.34412     132.24986
  18   16    4    48       0.34383       0.00003
  24    4    2    48       0.34383       0.00000
  16   14   12    48       0.34383       0.00015
  20   14    2    48       0.34268     582.19519
  22   10    4    48       0.34268     582.19043
  20   10   10    24       0.34268     582.19739
  21    9    9    24       0.34183     511.74771
  23    7    5    48       0.34183     511.61017
  19   11   11    24       0.34183     511.16400
  17   17    5    24       0.34183     511.71301
  24    4    4    24       0.34042    1241.61462
  20   12    8    48       0.34042    1241.63855
  21   11    7    48       0.33958     132.44498
  21   13    1    48       0.33958     132.34418
  19   13    9    48       0.33958     132.16008
  19   15    5    48       0.33958     132.43188
  23    9    1    48       0.33958     132.30574
  20   14    4    48       0.33931       0.00003
  22    8    8    24       0.33931       0.00004
  16   16   10    24       0.33931       0.00014
  18   12   12    24       0.33931       0.00014
  18   16    6    48       0.33820     581.91870
  24    6    2    48       0.33820     581.90039
  15   15   13    24       0.33738     511.74927
  21   13    3    48       0.33738     511.19159
  23    9    3    48       0.33738     511.39777
  22   10    6    48       0.33711     123.59027
  18   14   10    48       0.33711     123.19834
  17   13   13    24       0.33522     132.44733
  23    7    7    24       0.33522     132.14272
  25    1    1    24       0.33522     132.22484
  17   17    7    24       0.33522     132.08061
  24    6    4    48       0.33496       0.00001
  20   14    6    48       0.33390     581.63599
  22   12    2    48       0.33390     581.63007
  21   13    5    48       0.33311     511.32684
  25    3    1    48       0.33311     511.10190
  17   15   11    48       0.33311     511.54425
  19   15    7    48       0.33311     510.83658
  23    9    5    48       0.33311     510.96912
  24    8    0    24       0.33180    1240.79761
  21   11    9    48       0.33103     131.98051
  25    3    3    24       0.33103     132.14539
  18   16    8    48       0.33077       0.00011
  22   12    4    48       0.33077       0.00002
  20   12   10    48       0.33077       0.00012
  24    8    2    48       0.33077       0.00000
  22   10    8    48       0.32975     581.35101
  16   14   14    24       0.32975     581.36359
  18   18    0    12       0.32975     581.35614
  24    6    6    24       0.32975     581.34125
  19   13   11    48       0.32899     511.34299
  19   17    1    48       0.32899     510.89426
  25    5    1    48       0.32899     510.94598
  23   11    1    48       0.32899     510.97205
  18   18    2    24       0.32873     123.52117
  24    8    4    48       0.32773     168.92429
  16   16   12    24       0.32773     168.93568
  20   16    0    24       0.32773     168.93077
  19   17    3    48       0.32698     132.11395
  21   13    7    48       0.32698     131.89871
  17   17    9    24       0.32698     132.23770
  23   11    3    48       0.32698     131.98187
  25    5    3    48       0.32698     132.00655
  23    9    7    48       0.32698     132.14682
  20   16    2    48       0.32674       0.00001
  20   14    8    48       0.32674       0.00011
  18   18    4    24       0.32575     581.07648
  18   14   12    48       0.32575     581.08197
  22   12    6    48       0.32575     581.07123
  21   15    1    48       0.32502     510.70804
  19   15    9    48       0.32502     511.13467
  20   16    4    48       0.32381    1239.99976
  21   15    3    48       0.32309     132.01689
  25    7    1    48       0.32309     131.92734
  19   17    5    48       0.32309     131.82748
  15   15   15     8       0.32309     131.69905
  25    5    5    24       0.32309     131.98709
  23   11    5    48       0.32309     132.03900
  24    8    6    48       0.32285       0.00003
  18   16   10    48       0.32190     580.80109
  26    2    0    24       0.32190     580.76923
  24   10    2    48       0.32190     580.78259
  22   14    0    24       0.32190     580.79016
  25    7    3    48       0.32119     510.63510
  17   15   13    48       0.32119     510.09021
  21   11   11    24       0.32119     510.94324
  26    2    2    24       0.32095     123.46619
  18   18    6    24       0.32095     123.25681
  22   14    2    48       0.32095     123.51817
  22   10   10    24       0.32095     123.23129
  20   12   12    24       0.32002     168.63174
  21   13    9    48       0.31932     132.03563
  23    9    9    24       0.31932     131.71173
  21   15    5    48       0.31932     131.73526
  20   16    6    48       0.31909       0.00008
  24   10    4    48       0.31909       0.00002
  22   12    8    48       0.31909       0.00009
  26    4    2    48       0.31817     580.49060
  22   14    4    48       0.31817     580.51129
  20   14   10    48       0.31817     580.51910
  19   13   13    24       0.31749     509.91833
  19   17    7    48       0.31749     510.71838
  25    7    5    48       0.31749     510.24442
  17   17   11    24       0.31749     509.92334
  23   13    1    48       0.31749     510.33585
  23   11    7    48       0.31749     510.12122
  24    8    8    24       0.31636    1239.16602
  25    9    1    48       0.31569     131.76884
  19   15   11    48       0.31569     131.52724
  23   13    3    48       0.31569     131.82286
  26    4    4    24       0.31547       0.00000
  16   16   14    24       0.31547       0.00027
  24   10    6    48       0.31458     580.22461
  18   18    8    24       0.31458     580.23987
  26    6    0    24       0.31458     580.21198
  25    9    3    48       0.31392     510.08917
  21   15    7    48       0.31392     510.52295
  18   14   14    24       0.31370     123.81463
  22   14    6    48       0.31370     123.26722
  26    6    2    48       0.31370     123.42290
  20   16    8    48       0.31283     168.32965
  24   12    0    24       0.31283     168.32217
  25    7    7    24       0.31218     131.74988
  19   19    1    24       0.31218     131.69084
  23   13    5    48       0.31218     131.55119
  24   12    2    48       0.31196       0.00001
  18   16   12    48       0.31196       0.00025
  20   18    2    48       0.31110     579.95508
  26    6    4    48       0.31110     579.93323
  22   12   10    48       0.31110     579.95532
  21   13   11    48       0.31046     509.57553
  23   11    9    48       0.31046     510.34430
  19   19    3    24       0.31046     509.85477
  19   17    9    48       0.31046     509.59164
  27    1    1    24       0.31046     509.98947
  21   17    1    48       0.31046     510.06494
  25    9    5    48       0.31046     510.16782
  24   12    4    48       0.30941    1238.35046
  21   17    3    48       0.30878     131.49005
  17   15   15    24       0.30878     131.85811
  27    3    1    48       0.30878     131.56548
  20   14   12    48       0.30857       0.00024
  20   18    4    48       0.30857       0.00004
  24   10    8    48       0.30857       0.00008
  22   16    2    48       0.30774     579.67273
  26    8    2    48       0.30774     579.65479
  22   14    8    48       0.30774     579.67554
  19   19    5    24       0.30712     510.09338
  23   13    7    48       0.30712     510.13232
  21   15    9    48       0.30712     509.41531
  17   17   13    24       0.30712     510.38516
  25   11    1    48       0.30712     509.77792
  27    3    3    24       0.30712     509.77301
  18   18   10    24       0.30692     123.78517
  26    6    6    24       0.30692     123.55000
  25   11    3    48       0.30549     131.53209
  25    9    7    48       0.30549     131.35410
  19   15   13    48       0.30549     131.75426
  23   15    1    48       0.30549     131.49963
  21   17    5    48       0.30549     131.60893
  27    5    1    48       0.30549     131.45563
  20   16   10    48       0.30529       0.00022
  24   12    6    48       0.30529       0.00006
  22   16    4    48       0.30529       0.00004
  26    8    4    48       0.30529       0.00001
  20   18    6    48       0.30448     579.39856
  23   15    3    48       0.30388     509.48822
  27    5    3    48       0.30388     509.68381
  16   16   16     8       0.30289    1237.56323
  19   17   11    48       0.30230     131.64867
  23   11   11    24       0.30230     131.17406
  25   11    5    48       0.30230     131.27515
  19   19    7    24       0.30230     131.19533
  22   12   12    24       0.30211       0.00021
  26   10    0    24       0.30133     579.09784
  24   10   10    24       0.30133     579.11060
  22   16    6    48       0.30133     579.11664
  26    8    6    48       0.30133     579.09802
  24   14    2    48       0.30133     579.10846
  18   16   14    48       0.30133     579.12708
  21   13   13    24       0.30075     509.98087
  27    7    1    48       0.30075     509.46689
  21   17    7    48       0.30075     509.09344
  23   15    5    48       0.30075     509.70764
  23   13    9    48       0.30075     509.06281
  27    5    5    24       0.30075     509.34100
  22   14   10    48       0.30055     123.76888
  26   10    2    48       0.30055     123.50794
  24   12    8    48       0.29979     167.72267
  28    0    0     6       0.29979     167.70607
  21   15   11    48       0.29921     131.54730
  25    9    9    24       0.29921     131.43370
  27    7    3    48       0.29921     131.23662
  20   18    8    48       0.29902       0.00017
  24   14    4    48       0.29902       0.00004
  20   14   14    24       0.29827     578.84595
  28    2    2    24       0.29827     578.80206
  18   18   12    24       0.29827     578.84650
  26   10    4    48       0.29827     578.81952
  25   13    1    48       0.29770     509.31155
  25   11    7    48       0.29770     509.54712
  20   16   12    48       0.29677    1236.74255
  28    4    0    24       0.29677    1236.67981
  20   20    0    12       0.29677    1236.72974
  17   17   15    24       0.29622     130.87549
  21   19    1    48       0.29622     131.16341
  25   13    3    48       0.29622     131.11742
  19   19    9    24       0.29622     131.43730
  23   15    7    48       0.29622     131.01392
  27    7    5    48       0.29622     131.25508
  28    4    2    48       0.29603       0.00000
  20   20    2    24       0.29603       0.00001
  22   16    8    48       0.29603       0.00017
  26    8    8    24       0.29603       0.00006
  22   18    0    24       0.29530     578.55603
  24   14    6    48       0.29530     578.55286
  21   19    3    48       0.29475     509.26163
  21   17    9    48       0.29475     509.56091
  27    9    1    48       0.29475     509.03543
  19   15   15    24       0.29475     508.46918
  22   18    2    48       0.29457     123.37482
  26   10    6    48       0.29457     123.29604
  28    4    4    24       0.29385     167.40762
